id,created_at,record_number,pdf_link,result_page,parent_page_num,num_pages
11,2025-03-19 00:26:57.214301+00,104-10003-10041,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10003-10041.pdf,1,1,1
12,2025-03-19 00:26:57.248917+00,104-10004-10143 (C06932208),https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10004-10143 (C06932208).pdf,1,1,3
13,2025-03-19 00:26:57.262179+00,104-10004-10143,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10004-10143.pdf,1,1,2
14,2025-03-19 00:26:58.443998+00,104-10004-10156,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10004-10156.pdf,1,1,3
15,2025-03-19 00:26:58.52263+00,104-10005-10321,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10005-10321.pdf,1,1,3
16,2025-03-19 00:26:58.536884+00,104-10004-10213,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10004-10213.pdf,1,1,37
17,2025-03-19 00:26:59.678136+00,104-10006-10247,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10006-10247.pdf,1,1,3
18,2025-03-19 00:26:59.726481+00,104-10009-10021,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10009-10021.pdf,1,1,2
19,2025-03-19 00:26:59.75914+00,104-10007-10345,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10007-10345.pdf,1,1,6
20,2025-03-19 00:27:00.859608+00,104-10009-10222,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10009-10222.pdf,1,1,1
21,2025-03-19 00:42:55.178092+00,104-10004-10143%20(C06932208),https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10004-10143%20(C06932208).pdf,1,1,3
22,2025-03-19 00:43:00.555024+00,104-10012-10024,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10012-10024.pdf,2,2,1
23,2025-03-19 00:43:00.573351+00,104-10012-10022,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10012-10022.pdf,2,2,2
24,2025-03-19 00:43:00.601903+00,104-10012-10035,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10012-10035.pdf,2,2,8
25,2025-03-19 00:43:01.766949+00,104-10012-10079,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10012-10079.pdf,2,2,1
26,2025-03-19 00:43:01.842753+00,104-10012-10078,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10012-10078.pdf,2,2,3
27,2025-03-19 00:43:01.845689+00,104-10012-10076,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10012-10076.pdf,2,2,3
28,2025-03-19 00:43:02.914771+00,104-10014-10051,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10014-10051.pdf,2,2,1
29,2025-03-19 00:43:03.058403+00,104-10014-10064,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10014-10064.pdf,2,2,2
30,2025-03-19 00:43:03.073397+00,104-10016-10021,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10016-10021.pdf,2,2,2
31,2025-03-19 00:43:04.147805+00,104-10023-10087,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10023-10087.pdf,2,2,19
32,2025-03-19 00:43:06.437926+00,104-10049-10362,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10049-10362.pdf,3,3,2
33,2025-03-19 00:43:06.445689+00,104-10048-10252,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10048-10252.pdf,3,3,2
34,2025-03-19 00:43:06.477193+00,104-10048-10124,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10048-10124.pdf,3,3,8
35,2025-03-19 00:43:07.624668+00,104-10049-10375,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10049-10375.pdf,3,3,1
36,2025-03-19 00:43:07.649794+00,104-10051-10106,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10051-10106.pdf,3,3,2
37,2025-03-19 00:43:07.690289+00,104-10051-10170,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10051-10170.pdf,3,3,19
38,2025-03-19 00:43:08.838997+00,104-10052-10130,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10052-10130.pdf,3,3,4
39,2025-03-19 00:43:08.905507+00,104-10059-10188,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10059-10188.pdf,3,3,2
40,2025-03-19 00:43:08.952696+00,104-10059-10099,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10059-10099.pdf,3,3,9
41,2025-03-19 00:43:10.022361+00,104-10061-10053,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10061-10053.pdf,3,3,4
42,2025-03-19 00:43:12.324226+00,104-10063-10206,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10063-10206.pdf,4,4,1
43,2025-03-19 00:43:12.446206+00,104-10064-10012,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10064-10012.pdf,4,4,17
44,2025-03-19 00:43:12.510837+00,104-10062-10227,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10062-10227.pdf,4,4,25
45,2025-03-19 00:43:13.489581+00,104-10065-10028,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10065-10028.pdf,4,4,2
46,2025-03-19 00:43:13.616199+00,104-10066-10010,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10066-10010.pdf,4,4,2
47,2025-03-19 00:43:13.718304+00,104-10066-10076,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10066-10076.pdf,4,4,9
48,2025-03-19 00:43:14.65802+00,104-10068-10142,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10068-10142.pdf,4,4,1
49,2025-03-19 00:43:14.7691+00,104-10068-10164,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10068-10164.pdf,4,4,1
50,2025-03-19 00:43:14.939388+00,104-10068-10172,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10068-10172.pdf,4,4,2
51,2025-03-19 00:43:15.821623+00,104-10069-10077,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10069-10077.pdf,4,4,1
52,2025-03-19 00:43:18.1077+00,104-10069-10112,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10069-10112.pdf,5,5,1
53,2025-03-19 00:43:18.125982+00,104-10069-10120,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10069-10120.pdf,5,5,2
54,2025-03-19 00:43:18.140387+00,104-10069-10132,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10069-10132.pdf,5,5,4
55,2025-03-19 00:43:19.32194+00,104-10069-10260,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10069-10260.pdf,5,5,2
56,2025-03-19 00:43:19.35047+00,104-10069-10185,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10069-10185.pdf,5,5,5
57,2025-03-19 00:43:19.353469+00,104-10069-10359,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10069-10359.pdf,5,5,2
58,2025-03-19 00:43:20.642669+00,104-10070-10272,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10070-10272.pdf,5,5,6
59,2025-03-19 00:43:20.711228+00,104-10070-10079,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10070-10079.pdf,5,5,18
60,2025-03-19 00:43:20.773091+00,104-10070-10296,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10070-10296.pdf,5,5,44
62,2025-03-19 00:43:24.138392+00,104-10071-10239,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10071-10239.pdf,6,6,2
65,2025-03-19 00:43:25.405353+00,104-10071-10404,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10071-10404.pdf,6,6,2
68,2025-03-19 00:43:26.595615+00,104-10072-10034,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10072-10034.pdf,6,6,1
73,2025-03-19 00:43:30.332671+00,104-10073-10074,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10073-10074.pdf,7,7,3
76,2025-03-19 00:43:31.51957+00,104-10073-10113,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10073-10113.pdf,7,7,1
79,2025-03-19 00:43:32.740508+00,104-10074-10007,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10074-10007.pdf,7,7,4
81,2025-03-19 00:43:33.927133+00,104-10075-10099,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10075-10099.pdf,7,7,3
84,2025-03-19 00:43:36.293558+00,104-10075-10203,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10075-10203.pdf,8,8,2
87,2025-03-19 00:43:37.514027+00,104-10075-10365,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10075-10365.pdf,8,8,4
90,2025-03-19 00:43:38.720017+00,104-10076-10058,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10076-10058.pdf,8,8,1
61,2025-03-19 00:43:21.851478+00,104-10071-10060,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10071-10060.pdf,5,5,2
63,2025-03-19 00:43:24.176452+00,104-10071-10122,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10071-10122.pdf,6,6,7
66,2025-03-19 00:43:25.446488+00,104-10072-10001,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10072-10001.pdf,6,6,6
69,2025-03-19 00:43:26.644146+00,104-10072-10212,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10072-10212.pdf,6,6,1
